title,artist,date,Medium and Support,Object Type,Dimensions,description,Donor,Photographer,Publisher (Digital),Place of Creation,Classification,Coverage,Audience,Format,Digital Collection,Accession Number,File Name,Language,rights,Type,Valuation,Valuation Date,Valuation Source,format,object_thumb,object_download,reference_url
"Peoria","","","","","","","","","","","","","","","","2011.5.5","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/18","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/18/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
"Peoria","","","","","","","","","","","","","","","","2011.5.5","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/19","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/19/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
"Peoria","Colson, Greg","1993","","","","","","","","","","","","","","2011.5.5","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/20","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/20/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0020.html"
"Five Guys Named Moe","","","","","","","","","","","","","","","","1993.1.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/21","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/21/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
"Five Guys Named Moe","","","","","","","","","","","","","","","","1993.1.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/22","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/22/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
"Five Guys Named Moe","Saar, Allison","1988","","","","","","","","","","","","","","1993.1.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/23","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/23/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0023.html"
"E-1957","McLaughlin, John","1957","","","","","","","","","","","","","","1000.1.3","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/24","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/24/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0024.html"
"Culver Track A Section I","Moses, Ed","1973","","","","","","","","","","","","","","2004.2.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/25","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/25/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0025.html"
"Fool&#39;s House","Johns, Jasper","1972","","","","","","","","","","","","","","2011.5.12","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/26","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/26/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0026.html"
"Empathy Displacement: Humanoid Morphology (2nd and 3rd Morphology)","Kelley, Mike","1990","","","","","","","","","","","","","","2011.5.13","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/27","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/27/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0027.html"
"Untitled (From Torn Sky series)","Goode, Joe","","","","","","","","","","","","","","","1992.5.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/28","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/28/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0028.html"
"Untitled","Hawkinson, Tim","1990","","","","","","","","","","","","","","2011.5.9","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/29","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/29/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0029.html"
"Waiting for Spring","Carnwath, Squeak","1992","","","","","","","","","","","","","","2013.3.1","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/30","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/30/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0030.html"
"Wagu #1","Moses, Ed","1993","","","","","","","","","","","","","","2001.4.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/31","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/31/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0031.html"
"Man with One Hand to Face","Olievera, Nathan","1960","","","","","","","","","","","","","","2011.5.20","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/32","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/32/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0032.html"
"Acceptance of Longing (Study) II","Celaya, Enrique Martinez","1997","","","","","","","","","","","","","","2011.5.16","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/33","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/33/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0033.html"
"Robert&#39;s Dilemma","Morphesis, Jim","1983","","","","","","","","","","","","","","1997.8.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/34","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/34/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0034.html"
